pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
10.666,32.511,0.0,138.0,0.018,0.6,12.0,12.0,24.0,600.0,600.0,401,466,0.983,22.615
10.607,32.219,0.0,119.75,0.018,0.593,12.0,12.0,24.0,600.0,600.0,358,467,0.99,22.926
10.516,32.221,0.0,119.75,0.018,0.598,12.0,12.0,24.0,600.0,600.0,376,450,0.983,22.598
10.426,31.915,0.0,119.75,0.019,0.632,12.0,12.0,24.0,600.0,600.0,409,434,0.97,23.119
10.901,32.336,0.0,119.75,0.018,0.603,12.0,12.0,24.0,600.0,600.0,365,445,0.978,23.021
10.599,32.217,0.0,119.75,0.018,0.597,12.0,12.0,24.0,600.0,600.0,343,451,0.983,22.777
10.763,32.26,0.0,119.75,0.018,0.62,12.0,12.0,24.0,600.0,600.0,350,456,0.965,23.168
10.487,31.928,0.0,119.75,0.018,0.585,12.0,12.0,24.0,600.0,600.0,423,464,0.98,22.704
10.642,32.054,0.0,119.75,0.019,0.622,12.0,12.0,24.0,600.0,600.0,427,433,0.985,23.239
10.438,31.97,0.0,119.75,0.019,0.612,12.0,12.0,24.0,600.0,600.0,436,460,0.988,22.995
10.763,32.235,0.0,119.75,0.018,0.588,12.0,12.0,24.0,600.0,600.0,351,455,0.99,22.564
10.594,32.228,0.0,119.75,0.018,0.587,12.0,12.0,24.0,600.0,600.0,360,464,0.97,22.757
10.626,32.227,0.0,119.75,0.019,0.625,12.0,12.0,24.0,600.0,600.0,360,440,0.978,23.089
10.459,31.945,0.0,119.75,0.018,0.63,12.0,12.0,24.0,600.0,600.0,405,450,0.98,22.652
10.517,32.22,0.0,119.75,0.018,0.588,12.0,12.0,24.0,600.0,600.0,363,470,0.99,22.426
10.624,32.065,0.0,119.75,0.018,0.6,12.0,12.0,24.0,600.0,600.0,418,454,0.993,22.424
10.553,31.998,0.0,119.75,0.018,0.625,12.0,12.0,24.0,600.0,600.0,412,421,0.985,22.968
10.866,32.303,0.0,119.75,0.018,0.62,12.0,12.0,24.0,600.0,600.0,396,460,0.978,22.957
10.516,31.999,0.0,119.75,0.018,0.625,12.0,12.0,24.0,600.0,600.0,449,420,0.988,23.253
10.363,31.909,0.0,119.75,0.019,0.607,12.0,12.0,24.0,600.0,600.0,408,448,0.988,23.1
