pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.739
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.741
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.747
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.745
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.755
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.745
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.741
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.742
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.745
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.74
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.749
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.745
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.744
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.737
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.744
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.744
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.742
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.742
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.752
0.0,0.0,0.0,0.0,0.029,1.0,29.852,29.852,22.21,806,806,9251,0,1.0,30.742
